route_id,origin_place_id,destination_place_id,routegroup_id
3802,712700,712700
3830,712700,718800
3890,712700,768500
3944,712700,828031
4059,712700,898100
4079,712700,908400
4141,712700,958300
4142,712700,958400
13341,718800,712700
13370,718800,718800
13429,718800,768500
13482,718800,828031
13599,718800,898100
13618,718800,908400
13678,718800,958300
13679,718800,958400
37502,768500,712700
37521,768500,718800
37578,768500,768500
37650,768500,828031
37785,768500,898100
37804,768500,908400
37859,768500,958300
37860,768500,958400
65755,828031,712700
65771,828031,718800
65814,828031,768500
65961,828031,898100
65978,828031,908400
66021,828031,958300
66022,828031,958400
124314,898100,712700
124339,898100,718800
124394,898100,768500
124446,898100,828031
124573,898100,898100
124595,898100,908400
124657,898100,958300
124658,898100,958400
133144,908400,712700
133168,908400,718800
133221,908400,768500
133273,908400,828031
133400,908400,898100
133423,908400,908400
133489,908400,958300
133490,908400,958400
158852,958300,712700
158864,958300,718800
158894,958300,768500
158932,958300,828031
159014,958300,898100
159022,958300,908400
159086,958300,958300
159088,958300,958400
159232,958400,712700
159250,958400,718800
159301,958400,768500
159351,958400,828031
159467,958400,898100
159485,958400,908400
159557,958400,958300
159559,958400,958400
