route_id,vehicletype_id,annualmovements_load,annualmovements_empty,annualtonnes
3802,102,10542.832717241381,5271.415751724138,29334.9121
3802,103,28.325581395348838,14.162790697674419,181.7639
3802,104,13.434801960784316,6.7173235294117655,145.9598
3830,102,186.47017931034483,30.2192,298.3248
3830,103,0.0,1.6154,0.0
3830,104,17.22385882352941,6.479394117647059,174.0701
3830,105,130.4020344827586,51.30483793103448,4009.3997
3890,102,4.716193103448275,16.224468965517243,6.5101
3890,103,0.008497674418604651,0.7571023255813955,0.0608
3890,104,6.01763137254902,5.862729411764707,58.8421
3890,105,22.60406551724138,39.63707931034483,470.3873
3944,104,0.41219411764706115,44.49527843137255,3.4137
4059,102,6.106593103448275,18.034234482758624,17.8968
4059,103,0.0339906976744184,6.797127906976746,0.2351
4059,104,7.747266666666667,9.028460784313726,78.5911
4059,105,223.77918965517244,186.64126896551724,5164.4219
4079,102,0.0015172413793173244,53.7440275862069,0.0022
4079,103,0.18006976744186046,0.017197674418604654,1.2516
4079,104,6.398380392156862,5.894794117647059,63.8713
4079,105,25.76271724137931,40.09562413793104,682.714
4141,104,0.1671392156862745,0.016419607843137254,1.5187
4141,105,0.0,1.0113,0.0
4142,102,0.13048275862068967,0.019420689655172418,0.1608
4142,104,0.3070156862745098,0.0202921568627451,3.0157
4142,105,36.13241379310345,0.0,1254.2513
13341,102,70.77748965517243,145.91188965517244,128.9465
13341,103,3.268367441860465,0.0,14.1659
13341,104,15.175745098039217,8.527507843137254,152.6323
13341,105,120.16298620689655,61.54388620689655,3685.5557
13370,102,85355.90466206896,42677.955365517235,248448.9844
13370,103,1254.4186046511627,627.2093023255813,9182.4023
13370,104,14.644586274509804,7.3223705882352945,163.8192
13429,102,1.8358620689655174,0.8056551724137933,2.8197
13429,103,1.0678744186046514,0.0,5.1716
13429,104,5.311278431372549,0.8308941176470589,51.9151
13429,105,28.57726896551724,27.27831379310345,799.8594
13482,104,0.015025490196092837,294.170131372549,0.1151
13599,102,68.38024827586207,1.289351724137931,125.3727
13599,103,16.745679069767437,3.109744186046511,77.048
13599,104,10.719680392156866,4.639158823529412,109.4747
13599,105,130.86912758620684,731.6792103448275,3265.8862
13618,102,8.136662068965517,15.59238620689655,16.1412
13618,103,5.589041860465116,0.0,23.1633
13618,104,16.674576470588235,5.076911764705882,169.8382
13618,105,354.9998172413794,32.242820689655176,12506.9307
13678,104,0.0,0.0353,0.0
13678,105,1.146744827586207,0.20082068965517244,38.3521
13679,104,0.23142352941176456,0.004492156862745098,1.9036
37502,102,20.469103448275863,0.47155862068965526,45.5303
37502,103,0.7647906976744185,0.0008093023255813953,3.1691
37502,104,11.278566666666668,0.6017941176470589,114.3859
37502,105,59.980700000000006,2.2604448275862072,1867.0641
37521,102,2.457931034482759,0.18358620689655172,3.6108
