place_id	latitude	longitude	name
712700	59.18308232556329	17.834467410245892	Botkyrka
898100	59.94508735895449	16.610269397260694	Sala
828031	55.59046187994688	12.932745579381866	Malmö
908400	60.16554347148502	16.329278515668967	Avesta
928421	63.2734066244302	18.711519725557707	Örnsköldsvik
848011	57.70155206040281	11.951574535784165	Göteborg
958400	67.90932937903317	20.364426161141942	Kiruna
958300	65.77188323283328	24.090785437866668	Haparanda
768500	57.40724130814097	15.02995866965062	Vetlanda
718800	59.755855693661005	18.69937773017441	Norrtälje
