cell_id	lat	lon	municipality_id	municipality_name	km2	employees	companies	truck_fq_weight	truck_fq_municipality	cell_height_lat	cell_width_lon
6790006582000	59.33871691262543	18.147345845912344	0186	Lidingö	0.16	470.59	40.47	5110.599999999999	19270.0	0.009	0.018542056354048955
6790006583000	59.34768352547896	18.148176313895664	0186	Lidingö	0.01	29.41	2.53	319.40000000000003	19270.0	0.009	0.018547779685230803
6800006583000	59.34725807629606	18.16573283643513	0186	Lidingö	0.01	39.29	4.57	438.6	19270.0	0.009	0.01854750812375998
6800006584000	59.35622451852158	18.166568434770454	0186	Lidingö	0.13	510.71	59.43	5701.4	19270.0	0.009	0.018553231346031065
6830006584000	59.354933543087014	18.21924872710895	0186	Lidingö	0.19	750.0	20.0	7700.0	19270.0	0.009	0.018552407324733355
4780006454000	58.22660157128323	14.625437214970638	0509	Ödeshög	0.11	94.83	7.21	1020.3999999999999	3240.0	0.009	0.01783220030083409
4790006454000	58.226650353820084	14.642462406215914	0509	Ödeshög	0.18	155.17	11.79	1669.6	3240.0	0.009	0.01783223143841289
4800006454000	58.226696867503584	14.659487651863369	0509	Ödeshög	0.11	42.31	4.23	465.4000000000001	3240.0	0.009	0.01783226112779722
4810006454000	58.226741112319196	14.676512949322762	0509	Ödeshög	0.02	7.69	0.77	84.60000000000001	3240.0	0.009	0.017832289368977804
4950006464000	58.316938893776566	14.914655397333744	0586	Mjölby	0.01	25.0		260.0	50592.200000000004	0.009	0.017889862031429157
5070006465000	58.325893150355974	15.119512669695334	0586	Mjölby	0.05	90.91	9.09	1000.0	50592.200000000004	0.009	0.017895577475680883
5040006471000	58.379820023138684	15.068397114563464	0586	Mjölby	0.06	0.0		10.0	50592.200000000004	0.009	0.017929998650942754
5050006464000	58.31693889377656	15.085344602666254	0586	Mjölby	0.29	281.59000000000003	11.209999999999999	2938.0	50592.200000000004	0.009	0.017889862031429154
5050006471000	58.37980975188656	15.085496373493825	0586	Mjölby	0.28	245.95	16.27	2632.2	50592.200000000004	0.009	0.017929992094868737
5050006473000	58.39777273996142	15.08553985468436	0586	Mjölby	0.15	187.5		188.5	50592.200000000004	0.009	0.017941457754359933
5060006463000	58.30794477307321	15.102387539437172	0586	Mjölby	0.36	1321.88	21.38	13432.600000000002	50592.200000000004	0.009	0.017884121142164096
5060006464000	58.3169263706655	15.102413494460748	0586	Mjölby	0.23	844.53	13.66	8581.9	50592.200000000004	0.009	0.017889854038008093
5060006465000	58.325907955551266	15.10243946515997	0586	Mjölby	0.09	52.78	6.67	594.5	50592.200000000004	0.009	0.0178955869257416
5060006466000	58.33488952773243	15.102465451548026	0586	Mjölby	0.17	47.22	11.33	585.5	50592.200000000004	0.009	0.01790131980536584
