scenario_name	year	co2_ton_per_y	icev_co2_ton_per_y	bev_co2_ton_per_y	all_total_€_per_y	icev_total_€_per_y	icev_vehicles_€_per_y	icev_interest_€_per_y	icev_fuel_€_per_y	icev_driver_€_per_y	icev_co2t_€_per_y	icev_co2i_€_per_y	icev_roadnpoltax_€_per_y	icev_fossil_fuel_liter_per_y	icev_renewable_fuel_liter_per_y	bev_total_€_per_y	bev_vehicles_€_per_y	bev_batteries_€_per_y	bev_pickup_€_per_y	bev_interest_€_per_y	bev_electricity_€_per_y	bev_infrastructure_€_per_y	bev_driver_€_per_y	bev_co2t_€_per_y	bev_co2i_€_per_y	bev_roadnpoltax_€_per_y	bat_kWhWear_per_y	bat_kWhWear_per_kWh	icev_km_per_y	bev_km_per_y	bev_km_ratio	icev_tonkm_per_y	bev_tonkm_per_y	bev_tonkm_ratio	ers_km	Depot_€_per_y	Depot_kWh	Depot_kWh_ratio	Depot_€_per_kWh	Destination_€_per_y	Destination_kWh	Destination_kWh_ratio	Destination_€_per_kWh	Road_€_per_y	Road_kWh	Road_kWh_ratio	Road_€_per_kWh	RestStop_€_per_y	RestStop_kWh	RestStop_kWh_ratio	RestStop_€_per_kWh	MGV16_icev_ratio	MGV16_Depot_kWh	MGV16_Depot_ratio	MGV16_Destination_kWh	MGV16_Destination_ratio	MGV16_Road_kWh	MGV16_Road_ratio	MGV16_RestStop_kWh	MGV16_RestStop_ratio	MGV24_icev_ratio	MGV24_Depot_kWh	MGV24_Depot_ratio	MGV24_Destination_kWh	MGV24_Destination_ratio	MGV24_Road_kWh	MGV24_Road_ratio	MGV24_RestStop_kWh	MGV24_RestStop_ratio	HGV40_icev_ratio	HGV40_Depot_kWh	HGV40_Depot_ratio	HGV40_Destination_kWh	HGV40_Destination_ratio	HGV40_Road_kWh	HGV40_Road_ratio	HGV40_RestStop_kWh	HGV40_RestStop_ratio	HGV60_icev_ratio	HGV60_Depot_kWh	HGV60_Depot_ratio	HGV60_Destination_kWh	HGV60_Destination_ratio	HGV60_Road_kWh	HGV60_Road_ratio	HGV60_RestStop_kWh	HGV60_RestStop_ratio	NA_Diesel_km_ratio	NA_Diesel_routes_ratio	Depot_km_ratio	Depot_routes_ratio	Ers_km_ratio	Ers_routes_ratio	DepotAndErsPropulsion_km_ratio	DepotAndErsPropulsion_routes_ratio	DepotAndErsCharging_km_ratio	DepotAndErsCharging_routes_ratio	AllPlannedStops_km_ratio	AllPlannedStops_routes_ratio	AllPlannedStopsAndErs_km_ratio	AllPlannedStopsAndErs_routes_ratio	AllPlannedAndExtraChargingStops_km_ratio	AllPlannedAndExtraChargingStops_routes_ratio	PublicStaticCharging_km_ratio	PublicStaticCharging_routes_ratio	
Q8_ExpectedScenario_pro-dynamic_optional_ers_0	Y2035	1247156.1	830190.6	416965.53	1.0532372E+10	5.337766E+09	1.2245448E+09	244729070	1.4427195E+09	2.2597327E+09	166038380	107924620	418979400	192230200	674242500	5.194606E+09	999760260	146268000	0	359275300	451315520	295526400	2.8590676E+09	83393320	43649930	425161440	1890787.9	25.729177	3.2000433E+09	4.2938204E+09	0.5729782	4.1395094E+10	5.425504E+10	0.56722385	0	120990940	1.9558906E+09	0.43088135	0.06185977	50270304	492252930	0.10844298	0.10212292	0	0	0	NaN	124265150	2.0911355E+09	0.46067572	0.059424724	0.49402645	124760216	0.60451317	24236770	0.117436856	0	0	57384310	0.27804998	0.31993482	90733490	0.67905295	7926319.5	0.059320886	0	0	34957880	0.26162615	0.42705718	185672880	0.13336526	96908616	0.06960759	0	0	1.1096317E+09	0.7970271	0.41807306	1.5547258E+09	0.55386114	363181150	0.12938097	0	0	889161000	0.31675792	0	0	0.29653934	0.29173407	0	0	0	0	0	0	0.38994023	0.3561484	0	0	0	0	0.3135204	0.35211754
Q8_ExpectedScenario_pro-dynamic_optional_ers_0	Y2040	781533.75	505424.94	276108.78	1.1193307E+10	5.588384E+09	1.2724498E+09	247110610	1.5800224E+09	2.3877053E+09	101085000	70759460	505475100	93082800	852528200	5.6049224E+09	1.06424774E+09	105559350	0	334419520	476402460	310056580	3.2589868E+09	55222064	31883144	437530080	1709059.8	23.534899	3.394681E+09	4.875549E+09	0.58953005	4.467756E+10	6.12557E+10	0.578248	0	118466560	1.4299762E+09	0.30745545	0.08284513	70664490	813269250	0.1748589	0.086889416	0	0	0	NaN	120925510	2.4077573E+09	0.5176856	0.0502233	0.28672546	214930190	0.7168718	30730510	0.10249764	0	0	54156076	0.18063058	0.22651652	102811890	0.65615904	14641833	0.093446106	0	0	39233740	0.2503949	0.35388282	133290070	0.0821696	174781820	0.107748106	0	0	1.3140617E+09	0.81008226	0.49139276	978944900	0.38056204	593116000	0.23057216	0	0	1.0003051E+09	0.38886577	0	0	0.22113225	0.26708612	0	0	0	0	0	0	0.5258989	0.45928806	0	0	0	0	0.25296885	0.2736258
Q8_ExpectedScenario_pro-dynamic_optional_ers_0	Y2045	510916.25	319044.44	191871.83	1.1913585E+10	6.03487E+09	1.328876E+09	245568450	1.6215721E+09	2.7750446E+09	63809020	47856652	617146940	43709050	957025900	5.8787154E+09	1.1449121E+09	85285640	0	324183840	517866600	291073540	3.477045E+09	38374588	23977964	465969440	1716445.1	21.559698	3.69489E+09	5.4549955E+09	0.5961818	5.1002974E+10	6.627571E+10	0.565113	0	86960960	987478140	0.2006117	0.08806368	87585460	1.0818052E+09	0.21977477	0.080962315	0	0	0	NaN	116527110	2.8530524E+09	0.5796135	0.04084296	0.2713962	233923230	0.730847	34862764	0.108921826	0	0	51285444	0.16023125	0.17133698	121063450	0.6993353	16326614	0.09431234	0	0	35722108	0.20635237	0.38127357	0	0	240829580	0.148148	0	0	1.3847717E+09	0.851852	0.47025415	632490400	0.22560324	789786560	0.28170928	0	0	1.3812749E+09	0.4926875	0	0	0.1499257	0.26672536	0	0	0	0	0	0	0.40293238	0.3169709	0	0	0	0	0.44714192	0.41630375
Q8_ExpectedScenario_pro-dynamic_optional_ers_0	Y2050	368151.9	248436.7	119715.2	1.299188E+10	7.2781594E+09	1.6407252E+09	288285020	1.8931425E+09	3.4063214E+09	49687504	39750020	913848770	23645548	1.1964671E+09	5.7137213E+09	1.0915991E+09	61117060	0	276547840	507852670	254324030	3.498351E+09	23943066	16186435	447431460	1508776.1	13.767117	4.7480684E+09	5.360365E+09	0.53028643	5.870171E+10	7.0864994E+10	0.5469383	0	51990524	398113860	0.08445265	0.1305921	90561900	1.2507222E+09	0.2653181	0.07240769	0	0	0	NaN	111771610	3.065212E+09	0.6502293	0.03646456	0.4895	126055040	0.53565705	53536204	0.22749624	0	0	55736636	0.23684673	0.5646861	18508932	0.1955611	29647744	0.31325123	0	0	46488588	0.4911877	0.34871796	0	0	241635070	0.13599373	0	0	1.5351753E+09	0.8640063	0.5317093	253550380	0.09724777	925902460	0.35512447	0	0	1.4278089E+09	0.54762775	0	0	0.05977578	0.023819411	0	0	0	0	0	0	0.37045255	0.41308734	0	0	0	0	0.5697717	0.56309325
Q8_ExpectedScenario_pro-static_optional_ers_0	Y2020	5102763.5	5102763.5	0	9.570529E+09	9.570529E+09	2.445949E+09	554804350	1.7272488E+09	3.8219983E+09	1.02054803E+09	510274020	690888900	1.5627506E+09	82248790	0	0	0	0	0	0	0	0	0	0	0	0	0	5.5678356E+09	0	0	7.055192E+10	0	0	0	0	0	0	NaN	0	0	0	NaN	0	0	0	NaN	0	0	0	NaN	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8_ExpectedScenario_pro-static_optional_ers_0	Y2025	4361661	4063520.2	298140.66	9.937167E+09	8.27631E+09	2.1073708E+09	481796540	1.5737412E+09	3.300673E+09	812704900	446990000	593577600	1.2360161E+09	137335550	1.660857E+09	333015940	100382570	0	140790690	267319200	46268070	713454800	59628060	23356410	116790040	867972.94	14.443464	4.7613215E+09	1.0838068E+09	0.18542054	6.1283643E+10	1.2868068E+10	0.17353703	0	28193644	804121150	0.63645196	0.035061438	0	0	0	NaN	0	0	0	NaN	18074428	459322400	0.363548	0.0393502	0.8507855	33904188	0.6415287	0	0	0	0	18944866	0.3584712	0.6204235	38794700	0.6039272	0	0	0	0	25442676	0.39607278	0.80399024	157220910	0.38509813	0	0	0	0	251041040	0.6149019	0.8260462	574201700	0.77795047	0	0	0	0	163893760	0.22204953	0	0	0.491263	0.44537055	0	0	0	0	0	0	0.29947904	0.22511634	0	0	0	0	0.209258	0.3295131
Q8_ExpectedScenario_pro-static_optional_ers_0	Y2030	2169855.5	1680051.6	489803.94	1.0041458E+10	5.8157747E+09	1.4536872E+09	337797900	1.3910858E+09	2.2971745E+09	336011100	201607140	418144700	462678800	462678800	4.2256827E+09	812786240	190178530	0	353943780	735226750	138039920	1.897554E+09	97961120	42038108	292358750	2140738.5	39.585213	3.2120397E+09	2.9143718E+09	0.47570616	4.449229E+10	3.3442263E+10	0.429107	0	54976732	1.4105818E+09	0.4410484	0.03897451	23092206	235571120	0.07365633	0.09802647	0	0	0	NaN	59970988	1.5520941E+09	0.48529527	0.03863876	0.509945	105844696	0.6125566	11518216	0.06665954	0	0	55428790	0.32078385	0.46469378	58457300	0.6342423	3000760.5	0.032557257	0	0	30710662	0.33320048	0.38740355	340928400	0.2610709	46613204	0.035694744	0	0	918342700	0.7032344	0.6137104	905351740	0.55631787	174438880	0.10718869	0	0	547609500	0.33649346	0	0	0.35823825	0.3519539	0	0	0	0	0	0	0.22908084	0.22369857	0	0	0	0	0.41268095	0.42434752
Q8_ExpectedScenario_pro-static_optional_ers_0	Y2035	1027089.44	612244.7	414844.75	9.783876E+09	4.204601E+09	1.0641831E+09	246446510	1.0639711E+09	1.7075488E+09	122449030	79591710	308987840	141764580	497238370	5.579275E+09	1.063471E+09	173883100	0	447784860	965043650	197786400	2.648295E+09	82968430	40849180	397882460	2342998.2	36.535225	2.3565076E+09	4.0026944E+09	0.62943345	3.1612402E+10	5.0297262E+10	0.6140577	0	82260824	2.3004785E+09	0.53268653	0.035758138	40706464	302141020	0.069962166	0.1347267	0	0	0	NaN	74819110	1.7160152E+09	0.39735135	0.043600496	0.49804336	111220390	0.62633854	16861060	0.0949532	0	0	49490876	0.27870828	0.3302033	80550584	0.7012168	4228020	0.036806174	0	0	30093968	0.26197696	0.2896431	539503900	0.36338404	57966236	0.03904329	0	0	887195800	0.5975727	0.3888273	1.5692006E+09	0.6174256	223086000	0.08777655	0	0	749235000	0.2947978	0	0	0.40979692	0.4389106	0	0	0	0	0	0	0.30688992	0.25983855	0	0	0	0	0.28331316	0.30125082
Q8_ExpectedScenario_pro-static_optional_ers_0	Y2040	555358.5	249042	306316.47	9.626874E+09	3.0485486E+09	785679550	185479980	778538800	1.249036E+09	49808350	34865852	249067760	45865576	420072420	6.5783255E+09	1.2892507E+09	146418780	0	499497280	1.0694427E+09	236668850	3.2758185E+09	61263570	33156368	455002600	2455007.2	38.174843	1.6983396E+09	4.9017303E+09	0.7426785	2.2358874E+10	6.3729066E+10	0.74027866	0	111279096	3.024052E+09	0.6130351	0.03679801	48735320	379044350	0.07683978	0.12857419	0	0	0	NaN	76654430	1.5298221E+09	0.31012517	0.050106764	0.28264573	189932670	0.76414955	15039187	0.060506642	0	0	43582460	0.17534381	0.23246449	91909624	0.707057	6951209.5	0.053475372	0	0	31128150	0.2394676	0.1520492	904597800	0.5241631	70930520	0.04110021	0	0	750266200	0.43473667	0.31413403	1.8376183E+09	0.6496597	286123740	0.101154335	0	0	704843970	0.24918598	0	0	0.49717498	0.52963996	0	0	0	0	0	0	0.31968704	0.26621538	0	0	0	0	0.18313798	0.20414464
Q8_ExpectedScenario_pro-static_optional_ers_0	Y2045	310818.47	79418.52	231399.95	9.416345E+09	1.7747379E+09	458621500	106727050	403649920	789854340	15883680	11912790	153623730	10880357	238227620	7.641606E+09	1.5496895E+09	130794770	0	568264500	1.1879453E+09	241420020	3.9171963E+09	46279384	27149498	527603900	2701815.8	39.21277	1.0037312E+09	5.8586875E+09	0.853735	1.1564701E+10	7.891376E+10	0.8721828	0	134682530	3.9903002E+09	0.7015597	0.03375248	44280396	264040290	0.046422582	0.16770318	0	0	0	NaN	62457096	1.4334149E+09	0.25201768	0.04357224	0.27244616	200797520	0.7993694	13325654	0.05304906	0	0	37071744	0.14758159	0.14039238	118561144	0.8328433	3045328.8	0.021392182	0	0	20750618	0.14576456	0.09870956	1.1586648E+09	0.64257056	50025056	0.027742818	0	0	594481600	0.32968667	0.1421292	2.5122744E+09	0.7196369	197644530	0.056614954	0	0	781111550	0.22374813	0	0	0.57399625	0.62735015	0	0	0	0	0	0	0.33910263	0.26317844	0	0	0	0	0.08690113	0.10947144
