year	segment_id	latitude	longitude	is_in_sweden	placement	kW_installed	kW_used	kW_unused	kWPerRoadKm_installed	kWPerRoadKm_used	kWPerRoadKm_unused	kWh_per_year	euro_per_kWh	soc_on_arrival	lane_km
2025-01-01	2684885	57.701004	11.946847	True	Destination	1891.84	1891.84	0	0	0	0	4447485.5	0.09301633	0.30485156	0
2025-01-01	3017968	59.362628	13.435021	True	Depot	390.2761	390.2761	0	0	0	0	1516988.6	0.04964551	0.5	0
2025-01-01	3828032	60.650745	17.024915	True	Depot	190.70334	190.70334	0	0	0	0	741256.9	0.051184874	0.5	0
2025-01-01	3548935	58.70958	15.760468	True	Depot	559.088	559.088	0	0	0	0	2173154	0.04920137	0.5	0
2025-01-01	3125778	55.560417	13.912745	True	Depot	61.826466	61.826466	0	0	0	0	42018.527	0.11491979	0.5	0
2025-01-01	3873019	60.390753	17.238754	True	Destination	831.4388	831.4388	0	0	0	0	1954611.2	0.09345794	0.29563218	0
2025-01-01	3738035	60.712086	16.601036	True	Depot	25.96781	25.96781	0	0	0	0	18637.016	0.14056385	0.5	0
2025-01-01	2891908	58.17062	12.847688	True	Destination	377.5306	377.5306	0	0	0	0	420452.47	0.18881044	0.48576528	0
2025-01-01	4043969	59.380267	17.977097	True	Depot	858.7257	858.7257	0	0	0	0	3337835.8	0.048843063	0.5	0
2025-01-01	2945773	55.469946	13.118934	True	Depot	51.432346	51.432346	0	0	0	0	1165.7695	0.11867278	0.5	0
2025-01-01	2765858	57.169843	12.280873	True	RestStop	716.07947	716.07947	0	0	0	0	2706855.5	0.05561581	0.22817628	0
2025-01-01	3377882	57.658027	15.010021	True	Depot	87.284676	87.284676	0	0	0	0	203892.62	0.0812292	0.5	0
2025-01-01	2927907	58.152138	13.005177	True	Depot	49.646584	49.646584	0	0	0	0	192974.44	0.05973788	0.50000006	0
2025-01-01	2927812	56.248469	13.012192	True	Depot	34.481434	34.481434	0	0	0	0	1247.8706	0.12964702	0.5	0
2025-01-01	3422961	59.221866	15.202068	True	Destination	295.63382	295.63382	0	0	0	0	111007.445	0.1897718	0.2695823	0
2025-01-01	3017919	58.382768	13.409993	True	RestStop	500.7827	500.7827	0	0	0	0	779530.4	0.11411541	0.10044906	0
2025-01-01	3593976	59.520968	15.968796	True	Depot	139.53593	139.53593	0	0	0	0	542371	0.052288756	0.5	0
2025-01-01	3611994	59.88163	16.070586	True	Depot	87.50588	87.50588	0	0	0	0	15380.64	0.10947003	0.5	0
2025-01-01	3557869	57.389202	15.816641	True	Destination	347.86368	347.86368	0	0	0	0	186941.53	0.1891064	0.16025555	0
