station_latitude	station_longitude
56.04272631	12.78154717
56.04923654	12.77045833
56.06784931	12.78543525
56.0663304	12.75857689
56.02012685	12.77198955
59.14767002	18.11481096
59.15022969	18.11446153
59.13721194	18.11668603
57.73558602	11.99054588
57.73783083	12.00196067
57.74621795	11.99998952
57.73444223	11.98997205
57.72949889	11.99942267
57.7203673	11.96861103
57.76571446	11.99857089
57.75603209	11.99278166
57.6717352	14.16391237
57.66534163	14.18083717
57.68465665	14.15033322
57.69120575	14.15644761
57.67658634	14.15717163
59.29412274	18.02971437
59.29438686	18.02932569
59.29566269	18.01803524
59.29297674	18.00474832
59.28823266	18.05641461
57.70172892	11.82370918
57.70094674	11.81473865
57.70228703	11.8250036
57.69896026	11.86019787
57.6958105	11.85375
57.693609	11.83718425
57.69836771	11.85999973
57.71778985	11.82976084
57.71612539	11.82033052
56.01048485	12.77055223
56.01084991	12.77060597
55.62504274	13.02519285
55.62270839	13.0122185
55.62343457	13.04958943
55.61954885	13.03573136
55.6297829	13.04480404
55.62996894	13.05887519
55.62760527	12.99190472
56.0142358	12.73337873
56.02602857	12.71726236
56.02054403	12.70837016
59.23646591	15.13499452
59.24312541	15.12515318
59.24540412	15.10358741
59.24817473	15.14405704
59.21245031	15.15683752
57.06343581	12.35175157
57.06369501	12.35180318
60.47271531	15.41120619
60.47215193	15.44057314
57.75259586	14.16350043
57.74261554	14.16773823
57.74090169	14.16628747
57.76300068	14.17675863
59.16976928	17.64127742
59.1739012	17.61962248
59.58596146	16.47130534
59.58857869	16.50780547
57.77816214	12.001184
57.77717634	11.9928536
57.79278378	12.00652271
57.78616	11.99356922
57.79188463	12.00540915
57.795354	12.02725243
56.06440541	13.23160426
57.8768969	11.92672749
57.70085109	11.94078801
57.69469379	11.91380694
59.25919162	15.15768829
58.2258134	14.66907171
58.23295081	14.67325035
58.2329465	14.67317244
58.22640482	14.66895316
59.38859788	17.86186369
59.38964278	17.87779892
59.38829694	17.8846487
59.37134146	17.86029718
59.13086479	11.27430228
59.56793744	17.88006613
59.56477539	17.87924499
59.57601132	17.89741497
59.56781818	17.88649415
59.55132955	17.90053783
55.55518738	13.04975395
55.55171652	13.03952662
55.56100496	13.06459001
59.31583394	18.09783979
59.30154377	18.08498373
56.65388381	12.89527385
56.65872854	12.88519975
56.64099244	12.91270733
56.63771034	12.91886587
56.15741127	13.81067315
60.4872152	15.47566005
63.85042747	20.21417767
57.78456862	12.05020954
58.48846655	11.63092023
56.63945182	12.93561245
56.54146605	12.97014843
56.54099541	12.97017256
59.21383086	17.84074971
59.23208688	17.83303041
59.23157307	17.83427461
59.23597526	17.82653839
57.34896788	14.0978146
57.41824458	14.09922174
57.25156763	14.08047361
56.04006782	12.69620769
58.74768656	16.92187626
56.90868707	14.83157579
59.639508	16.57092296
56.12414113	12.93425187
56.12707296	12.91565185
59.84292447	17.72658487
59.8432204	17.7266772
59.84639075	17.68136664
58.48105263	15.87297171
58.48230408	15.87354912
58.43535546	15.66291439
59.59703938	16.43489741
55.68502428	21.14190615
56.03917871	14.03687857
56.03876861	14.03702471
57.16228425	14.07686565
57.16475828	14.07666011
61.742231	17.07930013
59.39258287	13.572309
60.90370292	17.019128
56.44682575	13.60597597
56.44575246	13.60371479
56.36156048	13.47398878
59.18225662	17.47173148
59.1861884	17.46090828
59.18735972	17.46023296
64.73172863	20.96996004
59.39153167	13.85330598
56.90159617	12.54259517
56.929964	12.5251407
57.55291209	12.05295448
57.55453653	12.05160985
57.25256834	16.43535696
57.25891485	16.42753776
57.24906343	16.41328329
57.71165985	12.86549246
57.71140211	12.86546149
57.69659422	12.83131986
57.6952757	12.82867419
56.81511554	13.90961214
57.64814469	14.19265869
57.17448561	14.00372149
61.07197055	16.96700797
58.7211775	11.34924924
59.44490564	17.81038398
59.45349643	17.82749007
59.44092325	17.82359775
59.46338243	17.8200659
59.46928722	17.81107804
60.68207144	17.14937522
57.66881501	12.10789627
63.17321633	14.688917
59.42632056	15.83015877
57.16346549	12.27853875
57.16748106	12.27615602
57.12380589	12.28249547
58.36539125	15.29699974
58.37260527	15.29600256
58.37258109	15.29608465
60.15364757	16.946288
58.37255089	13.41144544
58.37986909	13.40500956
58.37609936	13.426748
58.73595379	13.92773426
58.3148166	15.10931821
58.32245042	15.08952593
60.08078329	15.01724571
55.60241037	13.0987892
55.60855886	13.10440557
59.49359129	17.66675053
59.5100141	17.7309003
59.50878049	17.73114215
59.64156524	17.15084276
59.64091768	17.15419297
59.65219163	17.08439538
60.46824213	22.06551019
60.46891984	22.06217575
58.54015263	13.51663799
58.53313763	13.48832113
57.809865	12.3188015
59.06389121	15.00372719
59.06394278	15.00396526
59.063416	15.0644055
58.38233624	13.82901361
65.62188684	22.04439446
65.62144669	22.04667715
58.69287211	13.8585827
58.6973595	13.83100163
58.6906792	13.8216276
58.05196677	14.50805116
59.39544925	15.88749025
57.9245467	14.31874277
57.93573176	14.33022066
58.91732784	17.3685613
58.91760759	17.36892185
58.15951272	13.57381047
58.15952425	13.5733769
58.6437625	16.172379
58.65247907	16.17419121
58.65304553	16.1749484
58.62822567	16.14666867
63.05718598	18.33534104
57.72532671	11.81728606
56.88517904	14.73162121
55.38321363	13.11004276
55.94022131	12.81834267
55.94077909	12.81885367
59.49933908	16.03661977
59.03769914	14.89921143
59.36755935	13.14201455
59.13855465	15.0832521
58.08195365	11.81901834
58.07299489	11.84900492
58.08199605	11.81934114
58.09428038	11.85580275
58.6050915	16.19477692
58.60853629	16.22440571
56.83578974	12.70649917
56.38898977	12.93727959
56.38896548	12.93717751
57.68497201	12.78327139
57.667836	12.60070017
58.42504567	15.60996522
58.42188835	15.6213714
58.42674133	15.59412133
58.43648941	15.65660218
57.75216411	11.87896484
57.75232171	11.87810974
57.7374291	11.86460326
57.73300189	11.84731867
57.7599604	11.8840194
57.77298488	11.89933288
58.41456088	14.13193469
57.78015847	13.66140798
57.78010028	13.66139393
58.3823495	15.09721925
58.06107619	11.87917216
58.11489851	11.88038123
58.02499216	11.85005364
57.72306373	12.02522177
58.14867311	12.13414536
58.14859349	12.13410488
58.11911818	12.13554591
58.39720736	13.86867482
58.39729925	13.86901744
59.31450962	14.09656915
59.31201238	14.07289192
58.63682134	16.21450366
55.87876165	12.87280787
55.87392866	12.88439791
55.87490084	12.88575727
