	place_id	latitude	longitude	name
0	711400	59.51211583854323	17.924805174900744	Zone:Upplands-V
1	711401	59.49963697072145	17.928319720532574	Road:Upplands-V
2	711402	59.506478541178204	17.887372204203373	Road:Upplands-V
3	711403	59.52027378816494	17.901461597669698	Road:Upplands-V
4	711500	59.52772417405197	18.067137267917662	Zone:Vallentuna
5	711700	59.47872194110589	18.293389063486114	Zone:Osteraker
6	712000	59.324155033849145	18.387438825741615	Zone:Varmdo
7	712300	59.405636954783155	17.847586177858815	Zone:Jarfalla
8	712301	59.40189693482544	17.886921720412495	Road:Jarfalla
9	712500	59.289755869759816	17.788013049427676	Zone:Ekero
10	712600	59.25137349429658	17.943650767267222	Zone:Huddinge
11	712601	59.221741067721254	17.954594318599376	Road:Huddinge-1
12	712602	59.284713713145536	17.94354531331634	Road:Huddinge-2
13	712603	59.195310311122874	18.116616336488796	Road:Huddinge-3
14	712700	59.18308232556329	17.834467410245892	Zone:Botkyrka
15	712701	59.2261848725639	17.83576490017153	Road:Botkyrka
16	712800	59.19160143420414	17.74743352693719	Zone:Salem
17	713600	59.14046431932937	18.128940355041767	Zone:Haninge
18	713601	59.138648075588165	18.114783820275253	Road:Haninge-1
19	713602	59.142434265827035	18.121774336442332	Road:Haninge-2
20	713611	59.14750107844473	18.11810779162952	Rail:Jordbro
21	713800	59.24686722617524	18.206413880996436	Zone:Tyreso
22	713900	59.498205003838535	17.65905502552938	Zone:Upplands-Bro
23	713911	59.49540153563778	17.66259797361431	Rail:Bro
24	714000	59.17710705127132	17.433470163613787	Zone:Nykvarn
25	714001	59.18288442642198	17.441583722319155	Road:Nykvarn
26	716000	59.437678807477894	18.078736254350144	Zone:Taby
27	716200	59.40243520650805	18.041169259760917	Zone:Danderyd
28	716300	59.44011422333122	17.937990025120182	Zone:Sollentuna
29	716301	59.4402791676966	17.934652254578765	Road:Sollentuna
30	718000	59.32112877295058	18.070994778664634	Zone:Stockholm
31	718001	59.293755973896445	18.01178352547552	Road:Stockholm-1
32	718002	59.27890384985775	17.910208485557064	Road:Stockholm-2
33	718004	59.362355450552414	17.951327488253785	Road:Stockholm-4
34	718012	59.292040656017676	18.023752574490572	Rail:Arsta
35	718013	59.27808057267617	18.013874716231214	Rail:Alvsjo
36	718014	59.38853331728259	17.881733121720004	Rail:Spanga
37	718015	59.3150052915032	18.022769567673905	Rail:Liljeholmen
38	718016	59.34772741145518	18.10968043113	Rail:Virtan
39	718017	59.34954760765332	18.015037782926495	Rail:Tomteboda
40	718021	59.345393176741794	18.12385925948191	Sea:Stockholm
41	718031	59.35075432937067	18.112755442104074	Ferry:Stockholm
42	718100	59.166222718649365	17.641100809633457	Zone:Sodertalje
43	718101	59.18443621186759	17.637954561146564	Road:Sodertalje
44	718111	59.17675498738595	17.646744776777187	Rail:Sodertalje
45	718112	59.08739963276088	17.55488510444119	Rail:Jarna
46	718121	59.16308909647963	17.662555885086558	Sea:Sodertalje
47	718200	59.30196127098094	18.139905362571817	Zone:Nacka
48	718221	59.321520124581966	18.170897717447595	Sea:Nacka
49	718300	59.367716025484995	17.9685181164907	Zone:Sundbyberg
50	718311	59.358494920272925	17.978430856353743	Rail:Sundbyberg
51	718400	59.35820816038144	18.003063726607845	Zone:Solna
52	718600	59.3544359758948	18.21392152884403	Zone:Lidingo
53	718700	59.40597362168536	18.34096451603139	Zone:Vaxholm
54	718800	59.755855693661005	18.69937773017441	Zone:Norrtalje
55	718811	60.05914543514337	18.592522196734272	Rail:Hallstavik
56	718821	60.062203982725315	18.591434665028483	Sea:Hallstavik
57	718831	60.09865428357848	18.815537926831915	Ferry:Grisslehalm
58	718832	59.72258178495968	19.06700204263099	Ferry:Kapellskar
59	719100	59.6209099292676	17.860657159981375	Zone:Sigtuna
60	719101	59.646742766852356	17.935812626118672	Road:Sigtuna-1
61	719141	59.64246194935706	17.934373508940663	Air:Arlanda
62	719200	58.91025494657162	17.939922861444693	Zone:Nynashamn
63	719221	58.91694332859693	17.969681167754214	Sea:Nynashamn
64	719231	58.90104986918963	17.95266917060084	Ferry:Nynashamn
65	730500	59.56317879826898	17.5034248743723	Zone:Heby
66	730521	59.548837661426184	17.538991597415887	Sea:Balsta
67	731900	60.61442221756727	17.43040262565708	Zone:Alvkarleby
68	731911	60.64453518791096	17.388821351241543	Rail:Skutskar
69	731921	60.647788458269396	17.403277742047585	Sea:Skutskar
70	733000	59.73514021312371	17.784101133569866	Zone:Knivsta
71	733100	60.035928794401215	16.95344666184849	Zone:Heby
72	736000	60.44310509405447	17.494493553401966	zone:Tierp
73	738000	59.848569048162666	17.642685766851372	Zone:Uppsala
74	738011	59.85315739065642	17.658872646064566	Rail:Uppsala-C
75	738100	59.67564130706815	17.083041278949135	Zone:Enkoping
76	738200	60.155792652270215	18.09216178006754	Zone:Osthammar
77	738221	60.17026799346404	18.479313476676026	Sea:Hargshamn
78	738222	60.407559152337974	18.210142337922818	Sea:Forsmark
79	742800	59.03551778827568	15.840010139587474	Zone:Vingaker
80	746100	59.05538570142814	17.324916178758787	Zone:Gnesta
81	748000	58.81254760236777	17.206980555327092	Zone:Nykoping
82	748011	58.745952133269284	17.000379568038046	Rail:Nykoping
83	748041	58.790939922333166	16.941688286201003	Air:Skavsta
84	748100	58.66793812697159	17.28734302143526	Zone:Oxelosund
85	748111	58.66358583860289	17.115844918897935	Rail:Oxelosund
86	748121	58.66166022258136	17.11329712857939	Sea:Oxelosund
87	748200	59.065730883140176	16.712454457664336	Zone:Flen
88	748201	59.077425872595825	16.60572958409193	Road:Flen
